iter	RMSE
0	8271548.375
1	8211184.485
2	8154381.6
3	8095984.517
4	8042376.209
5	7997520.242
6	7955643.764
7	7915809.614
8	7878040.159
9	7841181.759
10	7801280.386
11	7768416.726
12	7735715.894
13	7707134.445
14	7679755.346
15	7654531.951
16	7631506.191
17	7603216.471
18	7581997.841
19	7564133.269
20	7542967.597
21	7525292.405
22	7506399.709
23	7488173.58
24	7471052.101
25	7457309.493
26	7439288.416
27	7423597.638
28	7403861.486
29	7393189.972
30	7381528.247
31	7367234.454
32	7350289.137
33	7337223.914
34	7323427.037
35	7312753.589
36	7304230.525
37	7292702.241
38	7282114.469
39	7270430.658
40	7260533.133
41	7248170.583
42	7235109.01
43	7223514.938
44	7214031.759
45	7207089.723
46	7196963.477
47	7188137.403
48	7179130.543
49	7169996.615
50	7160859.916
51	7152321.888
52	7144022.57
53	7135336.389
54	7129046.183
55	7121572.643
56	7113740.45
57	7105048.079
58	7098574.764
59	7092263.584
60	7083349.077
61	7075354.522
62	7067784.764
63	7061570.414
64	7050940.419
65	7044124.851
66	7034101.294
67	7029632.708
68	7020438.73
69	7016552.592
70	7012340.306
71	7007852.247
72	7003957.707
73	6996732.065
74	6994331.69
75	6992160.785
76	6988911.173
77	6986867.344
78	6978806.63
79	6970979.896
80	6968821.764
81	6965453.828
82	6957503.554
83	6954466.109
84	6948224.153
85	6946632.452
86	6940590.046
87	6938840.547
88	6931241.614
89	6928394.391
90	6922950.559
91	6920506.975
92	6915224.289
93	6907273.13
94	6902345.926
95	6897969.808
96	6893853.654
97	6886659.828
98	6881387.824
99	6877538.57
100	6874698.153
101	6869247.091
102	6862434.706
103	6857637.992
104	6855926.721
105	6853573.125
106	6850825.283
107	6845636.94
108	6841456.293
109	6833696.122
110	6829263.219
111	6826800.778
112	6824541.781
113	6822684.25
114	6819952.331
115	6818577.757
116	6814325.417
117	6808353.257
118	6804540.719
119	6801964.817
120	6800648.931
121	6799007.492
122	6793930.793
123	6791692.418
124	6787718.788
125	6782848.898
126	6780423.565
127	6777502.242
128	6774549.354
129	6769721.812
130	6765974.05
131	6762971.309
132	6759049.675
133	6754266.139
134	6752924.838
135	6750778.269
136	6748641.536
137	6747170.217
138	6738126.111
139	6736077.815
140	6733293.268
141	6732145.505
142	6730355.329
143	6728592.525
144	6725462.724
145	6720628.623
146	6715862.837
147	6711666.259
148	6709368.877
149	6703162.361
150	6700652.887
151	6695801.269
152	6692704.242
153	6690376.668
154	6688729.009
155	6680654.636
156	6678463.474
157	6676564.929
158	6672854.524
159	6670668.228
160	6668632.984
161	6665471.89
162	6659585.291
163	6653929.736
164	6652307.057
165	6649533.599
166	6647246.978
167	6645102.892
168	6640366.121
169	6638827.284
170	6635479.53
171	6631378.68
172	6628707.797
173	6624920.245
174	6622957.223
175	6617526.317
176	6611631.662
177	6606740.056
178	6600073.251
179	6593675.589
180	6589594.045
181	6584765.278
182	6582449.862
183	6573956.636
184	6571562.462
185	6561175.795
186	6558797.12
187	6555789.234
188	6551777.633
189	6546022.119
190	6543448.84
191	6541055.407
192	6538779.625
193	6530967.526
194	6526688.812
195	6524232.505
196	6517584.591
197	6513906.588
198	6510676.099
199	6508329.702
