iter	Passed	Remaining
0	123	123258
1	204	101907
2	284	94666
3	371	92517
4	454	90538
5	533	88351
6	615	87251
7	699	86764
8	783	86259
9	868	86011
10	953	85755
11	1038	85533
12	1132	86020
13	1222	86079
14	1304	85677
15	1386	85255
16	1467	84827
17	1553	84726
18	1635	84431
19	1717	84163
20	1804	84129
21	1893	84178
22	1976	83945
23	2057	83657
24	2142	83539
25	2224	83334
26	2305	83089
27	2387	82881
28	2468	82637
29	2568	83045
30	2654	82976
31	2734	82726
32	2816	82527
33	2902	82475
34	2988	82396
35	3070	82225
36	3156	82164
37	3240	82024
38	3332	82122
39	3414	81937
40	3497	81809
41	3578	81633
42	3663	81540
43	3753	81549
44	3836	81412
45	3921	81332
46	4007	81250
47	4091	81152
48	4176	81064
49	4259	80928
50	4363	81197
51	4465	81418
52	4555	81398
53	4633	81163
54	4717	81053
55	4798	80881
56	4887	80863
57	4972	80767
58	5058	80673
59	5161	80861
60	5269	81112
61	5354	81008
62	5433	80811
63	5514	80648
64	5598	80535
65	5680	80393
66	5766	80295
67	5849	80167
68	5934	80075
69	6016	79933
70	6101	79837
71	6182	79682
72	6269	79618
73	6355	79530
74	6434	79357
75	6513	79195
76	6593	79039
77	6673	78879
78	6753	78729
79	6833	78586
80	6920	78521
81	6999	78359
82	7085	78280
83	7166	78149
84	7247	78018
85	7329	77901
86	7410	77770
87	7494	77673
88	7576	77554
89	7659	77450
90	7740	77322
91	7823	77219
92	7918	77231
93	8001	77123
94	8083	77007
95	8178	77011
96	8272	77010
97	8378	77114
98	8471	77094
99	8573	77158
100	8656	77047
101	8738	76933
102	8819	76805
103	8915	76806
104	9015	76848
105	9117	76897
106	9209	76859
107	9299	76806
108	9395	76797
109	9478	76691
110	9564	76603
111	9660	76596
112	9756	76584
113	9851	76562
114	9941	76508
115	10031	76446
116	10130	76451
117	10218	76376
118	10319	76396
119	10421	76426
120	10520	76422
121	10607	76338
122	10694	76249
123	10777	76137
124	10871	76098
125	10952	75969
126	11035	75855
127	11120	75755
128	11201	75633
129	11285	75525
130	11372	75438
131	11453	75314
132	11537	75208
133	11622	75113
134	11704	74993
135	11783	74861
136	11867	74757
137	11949	74639
138	12029	74516
139	12114	74414
140	12197	74311
141	12275	74170
142	12362	74087
143	12445	73980
144	12527	73867
145	12608	73751
146	12690	73637
147	12771	73522
148	12864	73474
149	12945	73356
150	13034	73284
151	13128	73243
152	13257	73394
153	13341	73293
154	13433	73236
155	13527	73187
156	13619	73127
157	13701	73018
158	13789	72936
159	13886	72903
160	13968	72793
161	14058	72720
162	14141	72618
163	14226	72518
164	14310	72420
165	14400	72347
166	14493	72294
167	14586	72236
168	14667	72122
169	14750	72014
170	14834	71919
171	14917	71810
172	14997	71694
173	15081	71595
174	15164	71491
175	15247	71385
176	15330	71280
177	15423	71223
178	15512	71150
179	15593	71038
180	15675	70928
181	15754	70808
182	15835	70698
183	15915	70583
184	15996	70469
185	16085	70397
186	16165	70283
187	16246	70170
188	16327	70062
